efector;fechaGasto;periodo;numero_comprobante_gasto;codigogasto;efector_sesion;monto;concepto
G07112;2014-11-19;2014-11;;2.1;;350.00;
G07112;2014-11-06;2014-11;;2.2;;1200.00;
G07112;2014-11-03;2014-11;;2.3;;900.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-03;2014-11;;2.3;;700.00;
G07112;2014-11-04;2014-11;;2.3;;1200.00;
G07112;2014-11-04;2014-11;;2.3;;1940.00;
G07112;2014-11-04;2014-11;;2.3;;3500.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;1400.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-06;2014-11;;2.3;;1200.00;
G07112;2014-11-06;2014-11;;2.3;;700.00;
G07112;2014-11-19;2014-11;;2.3;;2000.00;
G07112;2014-11-19;2014-11;;3.1;;1165.84;
G07112;2014-11-19;2014-11;;3.1;;1414.80;
